tenure,Churn,percentage
1,1,0.6199021207177814
1,0,0.3800978792822186
2,1,0.5168067226890757
2,0,0.4831932773109244
3,0,0.53
3,1,0.47
4,0,0.5284090909090909
4,1,0.4715909090909091
5,0,0.518796992481203
5,1,0.48120300751879697
6,0,0.6363636363636364
6,1,0.36363636363636365
7,0,0.6106870229007634
7,1,0.3893129770992366
8,0,0.6585365853658537
8,1,0.34146341463414637
9,0,0.6134453781512605
9,1,0.3865546218487395
10,0,0.6120689655172413
10,1,0.3879310344827586
11,0,0.6868686868686869
11,1,0.31313131313131315
12,0,0.6752136752136753
12,1,0.3247863247863248
13,0,0.6513761467889908
13,1,0.3486238532110092
14,0,0.6842105263157895
14,1,0.3157894736842105
15,0,0.6262626262626263
15,1,0.37373737373737376
16,0,0.65
16,1,0.35
17,0,0.7011494252873564
17,1,0.2988505747126437
18,0,0.7525773195876289
18,1,0.24742268041237114
19,0,0.7397260273972602
19,1,0.2602739726027397
20,0,0.7464788732394366
20,1,0.2535211267605634
21,0,0.7301587301587301
21,1,0.2698412698412698
22,0,0.7
22,1,0.3
23,0,0.8470588235294118
23,1,0.15294117647058825
24,0,0.7553191489361702
24,1,0.24468085106382978
25,0,0.7088607594936709
25,1,0.2911392405063291
26,0,0.810126582278481
26,1,0.189873417721519
27,0,0.8194444444444444
27,1,0.18055555555555555
28,0,0.7894736842105263
28,1,0.21052631578947367
29,0,0.7916666666666666
29,1,0.20833333333333334
30,0,0.7777777777777778
30,1,0.2222222222222222
31,0,0.7538461538461538
31,1,0.24615384615384617
32,0,0.7246376811594203
32,1,0.2753623188405797
33,0,0.78125
33,1,0.21875
34,0,0.8153846153846154
34,1,0.18461538461538463
35,0,0.8295454545454546
35,1,0.17045454545454544
36,0,0.8
36,1,0.2
37,0,0.7692307692307693
37,1,0.23076923076923078
38,0,0.7796610169491526
38,1,0.22033898305084745
39,0,0.75
39,1,0.25
40,0,0.796875
40,1,0.203125
41,0,0.8
41,1,0.2
42,0,0.7846153846153846
42,1,0.2153846153846154
43,0,0.7692307692307693
43,1,0.23076923076923078
44,0,0.8823529411764706
44,1,0.11764705882352941
45,0,0.9016393442622951
45,1,0.09836065573770492
46,0,0.8378378378378378
46,1,0.16216216216216217
47,0,0.7941176470588235
47,1,0.20588235294117646
48,0,0.859375
48,1,0.140625
49,0,0.7727272727272727
49,1,0.22727272727272727
50,0,0.8529411764705882
50,1,0.14705882352941177
51,0,0.8823529411764706
51,1,0.11764705882352941
52,0,0.9
52,1,0.1
53,0,0.8
53,1,0.2
54,0,0.8088235294117647
54,1,0.19117647058823528
55,0,0.859375
55,1,0.140625
56,0,0.875
56,1,0.125
57,0,0.8769230769230769
57,1,0.12307692307692308
58,0,0.835820895522388
58,1,0.16417910447761194
59,0,0.8666666666666667
59,1,0.13333333333333333
60,0,0.9210526315789473
60,1,0.07894736842105263
61,0,0.8947368421052632
61,1,0.10526315789473684
62,0,0.9285714285714286
62,1,0.07142857142857142
63,0,0.9444444444444444
63,1,0.05555555555555555
64,0,0.95
64,1,0.05
65,0,0.881578947368421
65,1,0.11842105263157894
66,0,0.8539325842696629
66,1,0.14606741573033707
67,0,0.8979591836734694
67,1,0.10204081632653061
68,0,0.91
68,1,0.09
69,0,0.9157894736842105
69,1,0.08421052631578947
70,0,0.907563025210084
70,1,0.09243697478991597
71,0,0.9647058823529412
71,1,0.03529411764705882
72,0,0.9834254143646409
72,1,0.016574585635359115
